"AssetId","SerialNumber","AssetName","AssignedDepartment","LastAuditDate","DaysOverdue"
"0","SN-LP-1001","Dell Latitude 7430 Laptop","IT","2026-03-02T19:36:22.617","119"
"2","SN-SRV-3003","Dell PowerEdge R750 Server","Operations",,"Never audited"
"3","SN-PRT-4004","Canon ImageCLASS MF743CDW Printer","HR","2025-12-12T19:36:22.617","199"
"5","SN-MON-5006","Samsung 34"" Curved Monitor","IT","2026-03-27T19:36:22.617","94"
"7","SN-TAB-7008","Microsoft Surface Pro 9","Training","2026-01-01T19:36:22.617","179"
"8","SN-NTB-1009","MacBook Pro 16""","Legal",,"Never audited"
"10","SN-PRT-4011","HP LaserJet Enterprise","Operations","2025-10-23T19:36:22.617","249"
"12","SN-SRV-3013","HPE ProLiant DL380","Data Center","2025-05-26T19:36:22.617","399"
"13","SN-MOB-6014","Samsung Galaxy Tab S8","Field Services",,"Never audited"
"15","SN-PRJ-8016","Epson EB-1080 Projector","Training","2026-03-12T19:36:22.617","109"
"18","SN-NAS-9019","Synology DS1821+ NAS","IT","2025-09-03T19:36:22.617","299"
